tweet_id,tweet_text,class_label,_sos,_flood,_need,_haz
729820191337553921,So we dont need help fighting the wildfires is this some kind of Joke the wildfire season has just begun.,not_humanitarian,True,False,False,True
730480242729594880,Red Willow helps families in Alberta who lost so much in the wildfire with Toonie Tuesday on May 17th. Please help support this worthy cause,rescue_volunteering_or_donation_effort,True,False,False,True
734814182818750464,RT @Christian_LTW: Wanna see us play main stage at Warped?! Help us out!! Spread it like wildfire!,not_humanitarian,True,False,False,True
729023889913700352,"RT @AHS_CentralZone: Need help? Visit AHS’s new website to support Albertans affected by wildfire launched, today:",rescue_volunteering_or_donation_effort,True,False,False,True
728733444587429890,"@ZacMabry  Please help donate 2 Fort McMurray, Alberta residents affected by wildfire crisis. Much Appreciated.",rescue_volunteering_or_donation_effort,True,False,False,True
729088408233099265,Please help the people having to evacuate the wildfire at Fort McMurray if you can!!,displaced_people_and_evacuations,True,False,True,True
734020196311179270,"@globalnewsto: Fort McMurray wildfire as big as PEI, crosses Saskatchewan border.  Need help from other countries?",requests_or_urgent_needs,True,False,False,True
729294441165426689,"pssst. The bag is up for sale. Please help raise funds for the Alberta Wildfire 2016. As it stands, we have",rescue_volunteering_or_donation_effort,True,False,False,True
729116765813276672,the Vice Versa bowling bag is up until 10pm tomorrow!! Please help raise funds for the Alberta Wildfire 2016.,rescue_volunteering_or_donation_effort,True,False,False,True
728857199296942080,RT @credmau5: : Please help #FortMcMurray  #FortMac #Wildfire,rescue_volunteering_or_donation_effort,True,False,False,True
732563235182903296,RT @freekibble: Hundreds of pets rescued in massive Canadian wildfire - now homeless &amp; need help. Just $5 makes a big difference!,rescue_volunteering_or_donation_effort,True,False,False,True
732615287606906882,Evacuation order expand  #dumbtrudeau no we dont need international help. #transnotley no looks good. Fire them!,displaced_people_and_evacuations,False,False,True,True
728644089319690240,RT @AVGivesBack: #AVtweeps Wildfire is threatening Fort McMurray communities in Alberta Canada Please help.#FortMacFire #AVGivesBack :,requests_or_urgent_needs,True,False,False,True
732991451093557250,"Check story from Edmonton Journal  #stupidtrudeau and #prayforsophie, no we do not need help; just help for sophie",requests_or_urgent_needs,True,False,False,False
728845299024728064,@TheEllenShow Fort McMurray alberta has been hit by a massive wildfire making 80.000+ people evacuate. Please help us out #AlbertaStrong,displaced_people_and_evacuations,True,False,True,True
728716010392453122,RT @AndrewRanger1: @jiadarola @cenkuygur @jimmy_dore Adding to the F.M. fire story. Even the Mexicans came to help us! ty! :) #tytlive http,rescue_volunteering_or_donation_effort,True,False,False,True
730509515981004801,RT @JoeyStyles: Please help if you can: @FightOwensFight &amp; TylerBreeze (@mmmGorgeous) raise funds for Canadian wildfire victims .,rescue_volunteering_or_donation_effort,True,False,False,True
729772213184827392,That is terrible. We need help to contain and stop the fire from spreading.,requests_or_urgent_needs,True,False,False,True
729928309014855680,Learn the story behind FORT MACMURRY WILDFIRE Relief Fund. and help us meet our goal. @generosity,rescue_volunteering_or_donation_effort,True,False,False,True
728831267353956352,@FDNY Please help with with the Fort McMurray wildfire #FortMacFire #FortMcMurray #ymm #ymmfire #AlbertaStrong,requests_or_urgent_needs,True,False,False,True
728623918819352577,Massive effort underway to rescue evacuees trapped by Canada wildfire: A massive effort is underway Friday morning,displaced_people_and_evacuations,True,False,False,True
729790390795153408,Help us raise funds for Fort McMurray! 10% of all product sales this week will be donated to the wildfire relief.,rescue_volunteering_or_donation_effort,True,False,False,True
1108098921698594817,"#Cyclone Idai slammed into Mozambique placing vulnerable children at grave risk. As existing flood waters continue to rise, children need urgent help. We are responding in #Mozambique, #Malawi and #Zimbabwe. Donate now to help:  #CycloneIdai",rescue_volunteering_or_donation_effort,True,False,False,True
1107388130854948864,"For those who doubted @nickmangwana’s video of the bus stuck in #Chipinge I saw it, it’s stuck in mushy tar, the road is broken so it’s gonna be stuck for a while &gt;&gt;&gt; Zimbabweans struggle with storm floods | Al Jazeera #CycloneIdai",infrastructure_and_utility_damage,True,False,False,True
1115891943630954496,"In #Mozambique @TeamRubiconUK are working day &amp; night to provide the most basic of human needs: food, shelter, clean water &amp; medicine. Theyre going where others arent often where people have seen no aid workers since #CycloneIdai &amp; the #flooding 3 weeks ago #MondayMotivation",requests_or_urgent_needs,False,False,True,True
1117383113309675520,"Please help me promote my new single PARASITE prod by myself recorded, mixed and mastered by Jamal of No Limits Ent. Please retweet for awareness. #WitchcraftisWhen Gukurahundi #CycloneIdai Zimbabwean Mugabe #SoundCloud? #np",not_humanitarian,True,False,False,False
1112721092416811015,"She gives an account of how #cycloneidai destroyed all she had. She describes the day as unforgettable. Help us expand #psychosocialsupport services for vulnerable women in Chipinge. Together, we can. Donate to support our cause. Please contact +263 242 754124; +263 785 001772",rescue_volunteering_or_donation_effort,True,False,False,False
1106916905451962370,"This is a house of a friend who works in Chimanimani, called him and he is safe because he had gone to Mutare for the weekend. But he is saying under those rumbles &amp; car their is a young man who is trapped &amp; their is no relief at all. Hope he will be saved. #cycloneidai",other_relevant_information,True,False,False,False
1107516448300244992,Chimanimani hotel is out of food and water and housing over 400 adults excluding children. Please help if you can through donations via @afrimomzim1 @econetzimbabwe or directly Ecocash to Mandla Mataure on 0775541329. #CycloneIdai #CycloneIdaiUPDATE,rescue_volunteering_or_donation_effort,True,False,False,False
1108902481814278144,"Dramatic footage from rescuers in Mozambique has been released, as Cyclone Idai leaves hundreds dead and many more trapped by rising flood waters",rescue_volunteering_or_donation_effort,True,False,False,True
1106545443100676096,"#CycloneIdai Safety Tips 4. Avoid crossing bridges or roads next to rivers during heavy rain, as flash flooding is a risk. If stuck on a flooded road, switch to the lowest possible gear and proceed slowly. Using your brakes suddenly may cause you to skid or aquaplane;",caution_and_advice,True,False,False,True
1108376145987284992,"I am with you there my sister! Thats one way of lending a hand in such a mammoth crisis that has fallen our beloved nation! Nyaradzo, Doves and all other services providers cant go at it alone! They need help too",rescue_volunteering_or_donation_effort,True,False,False,False
1111067190650900480,"Latest thoughts on biz, nutrition + #Mozambique #cycloneidai 1) once OCHA have set asks to global biz (like with Ebola) we spread the word 2) our @SBNMozambique SMEs are hit, bad. Need help to survey them. They’ll need grants plus technical support. DM me with help/ideas please!",requests_or_urgent_needs,True,False,False,False
1109825782933798918,"Just over one week ago, #CycloneIdai swept through Mozambique. Malawi and Zimbabwe, affecting an estimated 2.6 million and killing at least 700. Large areas are still flooded, the risk of hunger and disease is growing. Please help by donating now:",injured_or_dead_people,True,False,False,True
1107936753539862528,"@elonmusk City of Beira(At Mozambique near South Africa) hit by a cyclone on Friday, theres no electricity, communications, water and all basic infrastructure to help even for rescue, therere people trapped on trees waiting for rescue for days.",infrastructure_and_utility_damage,True,False,False,False
1108047061033852928,"Do you care? I do that’s why I’ve joined the call for help. Please help - no amount is too small, and a retweet is the least you can do ὤFἿDὤFἿDὤFἿD Econet Zimbabwe #cycloneidai",sympathy_and_support,True,False,False,False
1110463906730967041,"This months trivia is dedicated to all those who have suffered due to the recent flooding in Malawi. Please bring clothes, shoes, and non perishable food items to TJs next Friday and help us make a difference. #Serviceaboveself #CycloneIdai #Rotary",requests_or_urgent_needs,True,False,False,True
1110225487207366656,"Just over a week ago, catastrophic Cyclone Idai swept through Mozambique, Malawi and Zimbabwe. This week, flooding remains severe but rescue operations are continuing and aid is getting through. People need help now:",requests_or_urgent_needs,True,False,False,True
1110497723978006529,"1/3 With 1.7 million affected, 700 known to have been killed &amp; thousands still trapped in flood waters, the situation in Southern Africa remains critical. People are desperate for their basic needs: shelter, food and water. #CycloneIdai #TeamRubiconUK",injured_or_dead_people,True,False,True,True
